id,text,label,dataset,text_en,back_ne
yt_64,sojha नेपाली हरू लाई आत्याचार गर्ने तिमी हरू को kulat ।,1,youtube,Kulat to you who have persecuted sojha Nepalis.,"कुलत तिमीहरूलाई, जसले हालसम्मका नेपालीहरूलाई सताएका छौ।"
yt_1022,रास्ट पति को यहि हो बोल्ने सबे थुक यक नारि भयर त लाई त मत च्यातेर रास्ट पति बना को केपि ले हो तेहि पछि तै ले आफनो सिरिमान को हत्या गरे को हुन सक्छ ।,1,youtube,"If you tell a woman to marry a ruthless husband, don't let her become a ruthless husband and then take a copy of it, then you may have killed yourself.","यदि तपाईंले एक महिलालाई क्रूर पतिसँग विवाह गर्न भन्नुहुन्छ, र उसलाई क्रूर पति बन्न नदिनुहोस् र त्यसपछि त्यसको प्रतिलिपि लिनुहोस् भने, त्यसोभए तपाईंले आत्महत्या गर्नुभएको हुन सक्छ।"
yt_1014,प्रचन्ड ले नै बिगारेको छ अहिले नेपाल भर्स्ट्चार बलत्कार हत्या र केपि ले गर्न खोजे पनि प्रचण्ड ले अर्को मोड मा लिन्छ चोर हत्यारा प्रचण्ड नेपाली होइन देशी ईन्डियानि हो तेस् को नेपाली पहिचान कहिले पनि देखाउन खोज्दैना ।,1,youtube,"Pradhan has already been corrupted, but even though Nepal has tried to commit rape and murder, Pradhan has taken a different approach: the thief killer Pradhan is not a native Nepali, but a native Indian, never trying to show his Nepali identity.","प्रचण्ड पहिले नै भ्रष्ट भएका छन्, तर नेपालले बलात्कार र हत्या गर्ने प्रयास गरे पनि प्रचण्डले फरक दृष्टिकोण अपनाएका छन्ः चोर हत्यारा प्रचण्ड मूल नेपाली होइनन्, मूल भारतीय हुन्, जसले आफ्नो नेपाली पहिचान कहिल्यै देखाउन खोज्दैनन्।"
yt_725,यो कुकुर को छाऊरो ले गलत भन्दैछ यो कुकुर भने को बेरोजगार झोले हो यस ले नेपाली को भलो चाहन्न है यस को कुरो मा सत्यता छैन ।,0,youtube,This dog is a dog that is unemployed and is not good for the Nepali.,यो कुकुर बेरोजगार कुकुर हो र नेपालीहरूको लागि राम्रो छैन।
yt_397,यो पल हाम्रो लागि महत्त्व पुर्ण छ ।,0,youtube,This moment is very important to us.,यो क्षण हाम्रो लागि धेरै महत्त्वपूर्ण छ।
yt_160,यस्ता अविवेकी पत्रकार सङ्ग के अन्तर्वार्ता दिनु ।,1,youtube,Interview such a foolish press association.,यस्तो मूर्ख प्रेस एसोसिएशनसँग अन्तर्वार्ता लिनुहोस्।
yt_1384,पत्रकार भएसी जस्तो अबस्था मा सत्यतथ्य कुरा देखाउन सक्नु पर्छ ।,0,youtube,"Just like a journalist, you should be able to tell the truth in a timely manner.","पत्रकार जस्तै, तपाईं पनि समयमै सत्य बताउन सक्षम हुनुपर्दछ।"
yt_1671,सुशील सर आईन्धा यो पुलिस डिपार्टमेन्ट को कुनै पनि मान्छिलाइ ड्रेस मा निम्तो न गर्दिनु होला किना कि इनि हरु ले ड्रेस् को मुल्लेनै थाहा छैना एति गाली गर्ना मन छ कि यो पुलिस भन्ने जन्तु हरु लाई भन्ने साधे नै छैना ।,0,youtube,"Sushil Sir Aisha should not have invited this police department to any dress dress, but to be so abusive that they do not know how to dress is not to say that it is simply a police officer who brings animals.","सुशील सर ऐशाले यस प्रहरी विभागलाई कुनै पनि पोशाकको लागि आमन्त्रित गर्नु हुँदैनथ्यो, तर यति अपमानजनक हुनुको मतलब यो होइन कि यो केवल एक प्रहरी अधिकारी हो जसले जनावरहरू ल्याउँछ।"
yt_38,यो केशब बडालभन्ने जन्तु लाई कुनै पनि tv च्यानल ले कहिल्यै नबोलाउनुहोस यो कहिल्यै साचो बोल्दैन र मन्त्री अर्याल पनि भु माफिया कै पक्ष मा छिन यस्ता पनि मन्त्री !,1,youtube,Never speak of this Keshb Badalabhane Jantu on any TV channel It never speaks the truth and even Minister Aryal is not in favour of the mafia!,कुनै पनि टेलिभिजन च्यानलमा यस केशब बजालाभाने जन्तुको बारेमा कहिल्यै बोल्नुहोस् यो कहिल्यै सत्य बोल्दैन र मन्त्री अर्याल पनि माफियाको पक्षमा छैनन्!
yt_829,यस्ता प्रश्न म लाई नसोध्नु पो भन्छन् कुकुर जस्ता अलिकति पनि नेता को बुद्धि नैतिकता छैन ?,0,youtube,"Don't ask me such questions, but do they say that even a dog like a leader has no intelligence and no morality?","मलाई त्यस्ता प्रश्नहरू न सोध्नुहोस्, तर के तिनीहरू भन्छन् कि नेता जस्तो कुकुरको पनि कुनै बुद्धिमत्ता र नैतिकता छैन?"
