id,text,label,dataset,text_en
yt_340,"भ्रष्टाचारि हरु मर्नै पर्ने हो तर , अरु पनि लिएर जान्छन् अनि मन खिन्न हुन्छ !",1,youtube,"If corrupt people have to die, they take others and get upset !"
yt_398,थुक् का एमाले को गोठालो यस्ता मुला जड्या दलाली डलरे का गोठाला बोल्ने तरिका तेरो यस्ता मुलालाइ नेता चाहिँ कस् ले बनायो ठिक लाई ठिक बेठिक लाई बेठिल भन्न नसक्ने कुपुत्र हरु किना गर्छौ राजनिती बोरु इशाइ को धोती धोयर बस्न यार ।,1,youtube,"Do not be afraid to be a good leader, but do not be afraid to be a good leader, to be a good leader, to be a good leader, to be a good leader, to be a good leader, to be a good leader, to be a good leader, to be a good leader, to be a good leader, to be a good leader, to be a good leader, to be a good leader, to be a good leader, to be"
yt_1096,ए पुलिस को टाउके म सगँ पुलिस ज्यादती को प्रमाण छ ।,1,youtube,There is evidence of police brutality in every police station.
yt_98,यस्ता पत्रकार लाई हटाउनु पर्छ यो के सि पनि गफडि मात्र हो तर यो पत्रकार भारत को पुच्छर हो घुसघुसे हो यो ऋषि ।,1,youtube,"Such a journalist should be removed, even if he is not only a gossip but also a journalist who has tailed India or infiltrated it or a sage."
yt_856,"यो मुजि पोखरेल लठौरा एक नम्बर को झुते हो साले हरामि खुद , ज्ञानेन्द्र शाही , , जिउदै हुनु हुन्छ यातना दिएर खुट्टा भाचेर पनि , , हैन प्रहरी बाट कुनै यातना भा को छैन भन्दै बोल्ने झुटे मुजि पोखरेल को शिक्षा को कमि देखिन्छ ✊✊ ।",0,youtube,"This Muji Pokhreel Lathura is a number one hit by the sage himself, Gyanendra Shah, who is living under torture even when he breaks his foot, and who is lying and says no torture from the police, seems to lack the education of Muji Pokhreel."
yt_849,घटना घटे ५ ठाउ मा हात भाचने भिडन्त भने रडिकाे छाेरा भाेलि पुलिस जागिर खाने हाेस भने रामाे कुरा गर रनडिकाे छाराण ।,1,youtube,"There were five handshakes in the five locations of the incident, while the police were alerted to the incident, while the police were alerted to the incident."
yt_686,साले कुकुर पत्रकार चुतिया तो लाई इन्डिया को चिन्ता लाग्यो जानू उतै मुन्टिनु कुकुर ।,0,youtube,"The Indian journalist, who was a dog, was worried about the dog."
yt_26,मेहर सर मन्त्री होस् भन्न चाहने हरू सबै यता हाजिर हौ ?,0,youtube,Are all those who wish to say that Sir Meher is a minister here ?
yt_80,यो बिस्नु पौडेल को हनुमान हो ।,1,youtube,This is the bisnu paul to hanuman.
yt_1128,"त्यसैले माओबादी ले पोलिश मारे को रहेछ ड्याम का ड्याम , अब बिप्लव ले नि सुरु गर्ने भो पोलिस मार्न ।",1,youtube,"So the Maoists are going to Polish kill the dam's dam, now start with the Biplv to kill the police."
