id,text,label,dataset,text_en,back_ne
tw_9866,नेपाल में पाँच महिना में अर्ब करोड से अधिक मूल्य का औषधि और कच्चा पदार्थ आयात काठमाडौं नेपाल में कोभिड संक्रमण शुरु होने के पाँच महिना में अर्ब करोड से अधिक मूल्य का औषधि और कच्चा पदार्थ आयात कि,0,twitter,Imports of medicines and raw materials worth over a billion in five months to Nepal Kathmandu Imports of medicines and raw materials worth over a billion in five months to Nepal in the beginning of the COVID-19 infection,पाँच महिनामा एक अर्बभन्दा बढीको औषधि र कच्चा माल नेपालमा आयात गरियो काठमाडौं पाँच महिनामा एक अर्बभन्दा बढीको औषधि र कच्चा माल नेपालमा आयात गरियो जब कोभिड-१९ संक्रमण सुरु भयो
tw_2051,आजका ब्रोडसिटका समाचार शीर्षक नेकपा संकट राष्ट्रपतिदेखि चिनियाँ राजदूतसम्म सक्रिय विवाद वारपारतर्फ नेकपामा बैठककै बखेडा टिप्पणी कोभिड संकट र लकडाउनले रोजगारी गुमाएका लाख आयआर्जन गुमाएका सवा करोड जनताको प्राथमिकताबारे यति चिन्ता र चासो रहेछ मिडियाको है,0,twitter,"Today's broadcast news headline is the NECPA crisis, from the president to the Chinese ambassador to active dispute warfare to the NECPA meeting.","आजको प्रसारण समाचारको शीर्षक नेकपा संकट हो, राष्ट्रपतिदेखि चिनियाँ राजदूतसम्म सक्रिय विवाद युद्धसम्म र नेकपा बैठकसम्म।"
tw_13904,कोभिड का बिरामीलाई अस्पतालसँग समन्वय गरेर मात्र रिफर,-1,twitter,Referring only a COVID patient in coordination with the hospital.,अस्पतालसँग समन्वय गरेर मात्र एक जना कोभिड संक्रमितलाई सन्दर्भित गर्दै।
tw_32599,नेपालमा कोरोना भाइरस कोभिड को सङ्क्रमण आजको मितिसम्म छैन,1,twitter,The coronavirus outbreak in Nepal of COVID-19 has not been recorded to date.,नेपालमा कोभिड-१९ को कोरोना भाइरसको प्रकोप अहिलेसम्म देखिएको छैन।
tw_7854,कोभिड का संक्रमित बढ्न थालेपछि पोखरा महानगरको आग्रहमा यहाँका दुई होेटल पे आइसोलेसन सञ्चालन गर्न तयार भएका छन्,1,twitter,"As the number of Covid cases has increased, at the urging of the city of Pokhara, two hotels here are ready to operate pe isolation.",कोभिड संक्रमितको संख्या बढ्दै जाँदा पोखरा शहरको आग्रहमा यहाँका दुई होटल आइसोलेसन सञ्चालन गर्न तयार छन् ।
tw_10020,कोभिड बाट हालसम्म मृत्यु हुनेको सङ्ख्या सात जिल्ला सङ्क्रमित शून्य,-1,twitter,The number of deaths from COVID-19 so far in seven districts is zero.,अहिलेसम्म सात जिल्लामा कोभिड-१९ बाट मृत्यु हुनेको संख्या शून्य छ ।
tw_8342,कोरोना भाईरस कोभिड का विरामीहरु ओसार्न लगाएर स्विस इन्टरनेशनललाई तिर्नुपर्ने लाखौं स्विस फ्र्यांक स्विजरल्याण्डको परराष्ट्र मन्त्रालयले आफ्नै स्विस कंपनीलाई तिरेको छैन स्विस सरकारले आफ्नै विमान कम्पनीलाई लाखौं फ्र्यांक तिरेन,-1,twitter,"The Swiss Foreign Ministry has not paid its own Swiss company millions of francs, which the Swiss government pays its own airline millions of francs.","स्विस विदेश मन्त्रालयले स्विस कम्पनीलाई लाखौं फ्रान्क तिर्नुपरेको छैन, जसलाई स्विस सरकारले आफ्नो एयरलाइन्सलाई लाखौं फ्रान्क तिर्नुपरेको छ ।"
tw_17529,कोभिड संक्रमण पुष्टि भएका गुल्मीको मदाने गाउँपालिका पुर्कोटदहका वर्षिय शिक्षकको अवस्था गम्भीर रहेको तर उनको मृत्यु भएको भन्ने समाचार गलत भएको क्रिमसन अस्पतालले जनाएको छ,-1,twitter,"The Crimson Hospital has said that the news of his death was false, although the condition of the ten-year-old teacher was serious.","क्रिमसन अस्पतालले उनको मृत्युको खबर गलत भएको बताएको छ, यद्यपि १० वर्षीय शिक्षकको अवस्था गम्भीर थियो ।"
tw_4548,सार्कका शिक्षामन्त्रीबीच कोभिड पछिको शिक्षाबारे समीक्षा,1,twitter,A review of post-COVID education between the Sark Education Ministers,सर्क शिक्षा मन्त्रीहरूबीचको पोस्ट-कोविड शिक्षाको समीक्षा
tw_27236,राष्ट्रपति विद्यादेवी भण्डारीले कोरोना भाइरस कोभिड विरुद्धको लडाइँमा सरकारलाई साथ दिन सबैलाई अपिल गरेकी छिन्,1,twitter,President Vidya Devi Bhandari has appealed to everyone to support the government in the fight against coronavirus Covid.,राष्ट्रपति विद्यादेवी भण्डारीले कोरोना भाइरसको विरुद्धको लडाईमा सरकारलाई सहयोग गर्न सबैलाई अपील गरेकी छिन् ।
tw_3586,कोभिड कोरोनाको मार्मा परेका जनतालाई अाफै उपचार गर सब व्यबस्थापन गर भन्ने सरकारले चाडबाड अाउदा सांसदलाई भत्ता बाडनु ठिक कि बेठिक यस्तो सरकार जनतालाई अाबश्यक छैन फिर्ता गर्नुहोस वा नगर्नु होस माननीय ज्यु हरू यस्तो ब्यबस्था खारेज हुनुपर्छ,1,twitter,"The government should provide adequate treatment for people affected by COVID-19 or pay a member of parliament a pension, and the government should not be forced to return or refuse to return such a government to the people.","सरकारले COVID-19 बाट प्रभावित व्यक्तिहरूलाई उचित उपचार प्रदान गर्नुपर्दछ वा एक सांसदलाई पेन्सन भुक्तान गर्नुपर्दछ, र सरकारले फिर्ता लिन वा जनतालाई यस्तो सरकार फिर्ता गर्न अस्वीकार गर्न बाध्य हुनु हुँदैन।"
tw_2729,इजरायलले आइतबार एउटा कोरोनाभाइरस खोपको क्लिनिकल परीक्षण सुरु गरेको अधिकारीहरूले बताएका छन् साथै इजरायल सरकारले कोभिड सङ्क्रमण रोक्न लिएका नियन्त्रणका उपायलाई पनि खुकुलो पार्ने बताएको छ,1,twitter,"Officials said Israel has started clinical trials of a coronavirus vaccine on Sunday, and that the Israeli government has also simplified the control measures taken to prevent the spread of COVID.","अधिकारीहरूले भने कि इजरायलले आइतबार कोरोना भाइरसको खोपको क्लिनिकल परीक्षण सुरु गरेको छ, र इजरायल सरकारले COVID को प्रसार रोक्नका लागि लिइएको नियन्त्रण उपायहरू पनि सरल बनाएको छ।"
tw_3130,पिङ खेल्दै बालिका तनहुँको म्याग्दे गाउँपालिका जामुनेमा पिङ खेल्दै एक बालिका अघिल्लो वर्ष गाउँगाउँमा पिङ देखिएपनि यो वर्ष कोभिड को प्रभावका कारण गाउँघरमा पिङ देख्न छाडिएको छ तस्वीर रासस,-1,twitter,"A girl playing ping in her village of Magde village Jamunema playing ping a girl was seen playing ping last year in her village, but this year due to the impact of COVID, the village has stopped seeing ping in the village.",एक बालिकाले गत वर्ष उनको गाउँमा पिङ खेल्दै गरेको देखिएको थियो तर यस वर्ष कोभिडको प्रभावका कारण गाउँलेले पिङ देख्न छाडेका छन् ।
